Source;Post;ID ath;Data;type;like;comm;reposts;views
-10174752;-10174752;-10174752;1622953721;1;5;0;0;566
-101762028;-101762028;-101762028;1624454958;1;16;0;2;612
2658939;-101373101;572362949;1623741748;0,5;4;0;0;0
-101373101;-101373101;-101373101;1623738600;1;193;14;18;4401
-101443126;-101443126;-101443126;1624939272;1;12;0;2;1307
-101555177;-101555177;-101555177;1623917621;1;118;11;14;9935
456500;-101555177;30637949;1624879701;0,5;1;0;0;0
-101555177;-101555177;-101555177;1624818610;1;552;45;36;17096
-106770162;-106770162;-106770162;1622562270;1;2;0;1;98
-101982925;-101982925;-101982925;1623265468;1;288;69;109;50157
-101982925;-101982925;-101982925;1623180079;1;222;34;45;49222
-10199589;-10199589;-10199589;1624544100;1;343;46;126;18142
-102226711;-102226711;-102226711;1622991609;1;0;0;0;11
-102868701;-102868701;-102868701;1623016800;1;6;1;3;614
-102903793;-102903793;-102903793;1622737864;1;0;0;0;16
-103030819;-103030819;-103030819;1622647045;1;0;0;0;23
-103240;-103240;-103240;1622729257;1;9;2;0;511
448540;-105015964;236918910;1622440273;0,5;0;0;0;0
448540;-105015964;300497485;1622413202;0,5;0;0;0;0
-103240;-103240;-103240;1624462607;1;2;0;0;209
-103240;-103240;-103240;1624206737;1;8;1;0;415
-103295359;-103295359;-103295359;1623158460;1;2;0;1;214
-103953712;-103953712;-103953712;1622538011;1;33;0;3;1737
-10414712;-10414712;-10414712;1624957381;1;2;0;0;142
-10444;-10444;-10444;1623322800;1;6;4;0;2661
-104553534;-104553534;-104553534;1623218116;1;3;0;0;781
448540;-105015964;11661140;1622440416;0,5;1;0;0;0
-112173324;-112173324;-112173324;1623743078;1;2;0;0;74
-103240;-103240;-103240;1623177444;1;0;0;0;213
-105295285;-105295285;-105295285;1623144043;1;0;0;0;236
-105295285;-105295285;-105295285;1623349991;1;5;0;0;389
-105330048;-105330048;-105330048;1623297606;1;36;0;4;610
-106263090;-106263090;-106263090;1624638360;1;1;0;0;20
-108413994;-108413994;-108413994;1623914507;1;8;0;2;917
-106987913;-106987913;-106987913;1623359281;1;160;2;14;7218
-107472121;-107472121;-107472121;1622444221;1;0;0;0;21
-107539905;-107539905;-107539905;1622462820;1;1;0;0;59
-107722064;-107722064;-107722064;1623353228;1;9;6;3;141
-107976913;-107976913;-107976913;1624186415;1;31;32;4;1919
-108131651;-108131651;-108131651;1623908760;1;9;0;1;1058
-11400819;-11400819;-11400819;1623695237;1;0;0;0;68
-127451518;-127451518;-127451518;1622468050;1;69;14;15;20609
-109150066;-109150066;-109150066;1622797441;1;28;9;12;2653
8068;-109150066;-196013637;1623350814;0,5;1;0;0;0
-109398975;-109398975;-109398975;1623451187;1;4;0;0;1879
-109948899;-109948899;-109948899;1624620051;1;0;0;0;33
-110060874;-110060874;-110060874;1624619845;1;2;0;1;186
-110081762;-110081762;-110081762;1622811653;1;0;0;0;2
-110081762;-110081762;-110081762;1623771094;1;0;0;0;0
20620;-110084396;486307817;1622814124;0,5;0;0;0;0
-110084396;-110084396;-110084396;1622811653;1;0;1;1;13
-110084396;-110084396;-110084396;1623771097;1;0;0;0;2
-111099399;-111099399;-111099399;1623461005;1;0;0;0;11
-111233895;-111233895;-111233895;1624345205;1;24;0;0;314
-111233895;-111233895;-111233895;1624680002;1;31;0;0;396
-123585522;-123585522;-123585522;1623685218;1;0;0;0;2
-11244237;-11244237;-11244237;1622462499;1;18;5;1;343
-112510789;-112510789;-112510789;1622546904;1;109;273;54;105491
4711539;-112510789;652864932;1622547705;0,5;3;0;0;0
-112976002;-112976002;-112976002;1623460901;1;0;0;0;7
-11318422;-11318422;-11318422;1624005021;1;9;0;2;665
-11609581;-11609581;-11609581;1623507495;1;0;0;0;227
-12160356;-12160356;-12160356;1623308405;1;12;2;7;5281
-114535513;-114535513;-114535513;1624258613;1;1;0;0;77
